iter	Passed	Remaining
0	159	159692
1	161	80721
2	163	54269
3	164	40964
4	165	33012
5	167	27799
6	170	24118
7	171	21279
8	173	19096
9	174	17303
10	176	15837
11	177	14602
12	178	13553
13	179	12657
14	180	11876
15	182	11194
16	183	10624
17	185	10116
18	186	9647
19	188	9220
20	189	8830
21	190	8482
22	192	8168
23	193	7865
24	194	7587
25	195	7329
26	196	7096
27	198	6903
28	200	6708
29	201	6518
30	202	6341
31	204	6176
32	205	6029
33	207	5888
34	208	5753
35	210	5623
36	212	5521
37	213	5410
38	215	5301
39	216	5193
40	218	5102
41	219	5014
42	221	4931
43	223	4846
44	224	4765
45	226	4707
46	228	4643
47	230	4577
48	232	4518
49	235	4471
50	237	4411
51	240	4385
52	242	4329
53	243	4268
54	245	4212
55	246	4161
56	248	4106
57	249	4056
58	251	4011
59	253	3969
60	254	3925
61	256	3881
62	258	3838
63	259	3797
64	261	3754
65	262	3712
66	263	3670
67	264	3631
68	266	3595
69	268	3564
70	269	3527
71	270	3491
72	272	3456
73	273	3421
74	274	3386
75	275	3354
76	277	3323
77	278	3293
78	279	3263
79	281	3239
80	283	3211
81	284	3184
82	285	3152
83	286	3128
84	288	3105
85	289	3078
86	290	3051
87	292	3027
88	293	3001
89	294	2976
90	295	2954
91	297	2937
92	298	2915
93	300	2894
94	301	2874
95	303	2855
96	304	2835
97	305	2816
98	307	2798
99	308	2780
100	310	2760
101	311	2746
102	313	2731
103	314	2712
104	316	2695
105	317	2680
106	319	2663
107	320	2646
108	321	2628
109	322	2610
110	323	2592
111	324	2576
112	327	2569
113	328	2556
114	330	2541
115	331	2526
116	332	2509
117	333	2494
118	335	2480
119	336	2466
120	337	2451
121	338	2435
122	339	2421
123	342	2416
124	343	2403
125	344	2391
126	345	2377
127	347	2365
128	348	2351
129	349	2338
130	350	2324
131	351	2311
132	352	2298
133	353	2286
134	355	2279
135	357	2269
136	358	2258
137	359	2248
138	361	2240
139	362	2229
140	364	2217
141	364	2204
142	365	2192
143	367	2181
144	368	2171
145	369	2163
146	371	2155
147	372	2145
148	373	2135
149	375	2126
150	376	2116
151	377	2106
152	378	2096
153	379	2087
154	381	2078
155	382	2068
156	383	2059
157	385	2054
158	387	2048
159	388	2040
160	389	2029
161	390	2021
162	391	2012
163	393	2005
164	394	1996
165	395	1988
166	396	1979
167	397	1970
168	399	1966
169	401	1960
170	402	1952
171	404	1944
172	405	1937
173	406	1930
174	407	1922
175	408	1914
176	409	1906
177	411	1898
178	412	1890
179	413	1885
180	415	1882
181	417	1876
182	419	1870
183	420	1865
184	422	1859
185	423	1852
186	424	1846
187	426	1839
188	427	1836
189	429	1832
190	431	1829
191	433	1825
192	435	1820
193	436	1813
194	437	1807
195	439	1800
196	440	1794
197	441	1788
198	443	1783
199	444	1778
200	446	1773
201	447	1768
202	449	1762
203	450	1757
204	451	1752
205	453	1748
206	454	1741
207	455	1735
208	457	1731
209	459	1726
210	460	1722
211	461	1716
212	463	1711
213	464	1706
214	465	1701
215	467	1696
216	468	1690
217	469	1684
218	470	1678
219	472	1675
220	474	1672
221	476	1668
222	477	1663
223	478	1658
224	480	1653
225	481	1649
226	482	1644
227	484	1639
228	485	1633
229	487	1632
230	488	1627
231	490	1624
232	492	1621
233	494	1617
234	495	1612
235	496	1608
236	498	1603
237	499	1598
238	500	1594
239	503	1593
240	504	1589
241	506	1585
242	507	1581
243	508	1576
244	510	1572
245	511	1567
246	512	1562
247	513	1557
248	514	1552
249	516	1549
250	517	1545
251	519	1542
252	520	1537
253	522	1533
254	523	1529
255	524	1524
256	526	1521
257	527	1517
258	528	1512
259	529	1507
260	531	1505
261	533	1502
262	534	1498
263	536	1494
264	537	1490
265	538	1486
266	540	1484
267	541	1479
268	542	1475
269	543	1470
270	546	1469
271	547	1466
272	549	1463
273	551	1460
274	552	1456
275	553	1452
276	555	1448
277	556	1444
278	557	1440
279	558	1436
280	560	1434
281	562	1431
282	563	1428
283	565	1424
284	566	1421
285	567	1417
286	569	1415
287	570	1411
288	572	1407
289	574	1405
290	576	1403
291	577	1400
292	579	1398
293	581	1395
294	582	1391
295	584	1389
296	586	1387
297	587	1383
298	589	1381
299	591	1379
300	592	1376
301	594	1373
302	595	1370
303	597	1367
304	599	1365
305	600	1362
306	602	1359
307	603	1356
308	605	1354
309	607	1351
310	609	1349
311	610	1346
312	611	1342
313	613	1340
314	615	1337
315	616	1334
316	617	1330
317	620	1330
318	622	1328
319	624	1327
320	626	1325
321	628	1323
322	630	1321
323	631	1317
324	634	1318
325	636	1316
326	638	1313
327	639	1310
328	641	1307
329	642	1304
330	644	1302
331	645	1298
332	647	1296
333	649	1295
334	651	1293
335	654	1293
336	656	1291
337	658	1289
338	659	1285
339	661	1283
340	663	1282
341	665	1280
342	667	1277
343	668	1274
344	669	1271
345	670	1268
346	672	1264
347	673	1262
348	674	1259
349	676	1256
350	678	1254
351	680	1252
352	682	1250
353	683	1247
354	684	1244
355	686	1241
356	687	1239
357	689	1235
358	690	1232
359	692	1230
360	694	1228
361	695	1225
362	697	1223
363	698	1220
364	699	1217
365	701	1215
366	702	1212
367	703	1208
368	705	1206
369	708	1206
370	710	1203
371	711	1201
372	712	1198
373	714	1195
374	715	1192
375	716	1189
376	718	1186
377	719	1183
378	721	1181
379	722	1179
